timestamp,ctrl_output_x(ned),ctrl_output_y(ned),ctrl_output_z(ned),U1,q_d_w,q_d_x,q_d_y,q_d_z
1600763094983865175,0,0,-7.75083,0.317008,0.707107,0,0,-0.707107
1600763094983865175,0,0,-7.74755,0.316873,0.707107,0,0,-0.707107
1600763095003981992,0,0,-7.74755,0.316873,0.707107,0,0,-0.707107
1600763095003981992,0,0,-7.74423,0.316737,0.707107,0,0,-0.707107
1600763095023876711,0,0,-7.74423,0.316737,0.707107,0,0,-0.707107
1600763095023876711,0,0,-7.74094,0.316603,0.707107,0,0,-0.707107
1600763095023876711,0,0,-7.74094,0.316603,0.707107,0,0,-0.707107
1600763095043975163,0,0,-7.74094,0.316603,0.707107,0,0,-0.707107
1600763095043975163,0,0,-7.73763,0.316467,0.707107,0,0,-0.707107
1600763095063974204,0,0,-7.73763,0.316467,0.707107,0,0,-0.707107
1600763095063974204,0,0,-7.73433,0.316332,0.707107,0,0,-0.707107
1600763095063974204,0,0,-7.73433,0.316332,0.707107,0,0,-0.707107
1600763095083993139,0,0,-7.73433,0.316332,0.707107,0,0,-0.707107
1600763095083993139,0,0,-7.73103,0.316197,0.707107,0,0,-0.707107
1600763095103973933,0,0,-7.73103,0.316197,0.707107,0,0,-0.707107
1600763095103973933,0,0,-7.72773,0.316063,0.707107,0,0,-0.707107
1600763095125023551,0,0,-7.72773,0.316063,0.707107,0,0,-0.707107
1600763095125023551,0,0,-7.72426,0.31592,0.707107,0,0,-0.707107
1600763095125023551,0,0,-7.72426,0.31592,0.707107,0,0,-0.707107
1600763095144265411,0,0,-7.72426,0.31592,0.707107,0,0,-0.707107
1600763095144265411,0,0,-7.72108,0.315791,0.707107,0,0,-0.707107
1600763095163973380,0,0,-7.72108,0.315791,0.707107,0,0,-0.707107
1600763095163973380,0,0,-7.71783,0.315658,0.707107,0,0,-0.707107
1600763095183819400,0,0,-7.71783,0.315658,0.707107,0,0,-0.707107
1600763095183819400,0,0,-7.71455,0.315524,0.707107,0,0,-0.707107
1600763095183819400,0,0,-7.71455,0.315524,0.707107,0,0,-0.707107
1600763095203872975,0,0,-7.71455,0.315524,0.707107,0,0,-0.707107
1600763095203872975,0,0,-7.71125,0.315388,0.707107,0,0,-0.707107
1600763095224018637,0,0,-7.71125,0.315388,0.707107,0,0,-0.707107
1600763095224018637,0,0,-7.70792,0.315252,0.707107,0,0,-0.707107
1600763095224018637,0,0,-7.70792,0.315252,0.707107,0,0,-0.707107
1600763095243991110,0,0,-7.70792,0.315252,0.707107,0,0,-0.707107
1600763095243991110,0,0,-7.70463,0.315118,0.707107,0,0,-0.707107
1600763095264014064,0,0,-7.70463,0.315118,0.707107,0,0,-0.707107
1600763095264014064,0,0,-7.70132,0.314982,0.707107,0,0,-0.707107
1600763095283994910,0,0,-7.70132,0.314982,0.707107,0,0,-0.707107
1600763095283994910,0,0,-7.69803,0.314848,0.707107,0,0,-0.707107
