timestamp,ctrl_output_x(ned),ctrl_output_y(ned),ctrl_output_z(ned),U1,q_d_w,q_d_x,q_d_y,q_d_z
1581496586703005791,-0.011833,-0.0105836,-9.18251,0.375548,0.999993,-0.000578602,0.000642252,-0.0035887
1581496586715005636,-0.010371,-0.000131941,-9.18137,0.375505,0.999993,-9.21226e-06,0.000564757,-0.00358906
1581496586731003284,-0.0135623,0.00652665,-9.17933,0.375424,0.999993,0.000352854,0.000740012,-0.00358933
1581496586739003420,-0.00832697,-0.00329197,-9.18359,0.375594,0.999993,-0.000180857,0.000452715,-0.00358899
1581496586747002363,0.0174567,-0.0203714,-9.16359,0.374766,0.999992,-0.00110811,-0.000956486,-0.00359013
1581496586755003452,-0.0244097,0.0423131,-9.14424,0.374001,0.99999,0.00230882,0.00134299,-0.00359217
1581496586771003485,-0.0381564,0.0193935,-9.12085,0.373039,0.999991,0.00105561,0.0020955,-0.00359126
1581496586771003485,-0.0382032,0.0193966,-9.11784,0.372916,0.999991,0.00105612,0.00209876,-0.00359127
1581496586787002325,-0.0155491,0.0167525,-9.13109,0.373452,0.999993,0.000914269,0.000854723,-0.00358985
1581496586795003414,0.00874518,-0.0120036,-9.15231,0.374307,0.999993,-0.00065405,-0.000480108,-0.00358938
1581496586811003447,-0.00716126,-0.0152458,-9.17349,0.375175,0.999993,-0.000832362,0.000387339,-0.00358875
1581496586819003344,0.047217,0.0307068,-9.15283,0.374335,0.999989,0.00168666,-0.0025733,-0.0035847
1581496586827041149,0.0187882,-0.0086339,-9.15035,0.374227,0.999993,-0.000468091,-0.00102832,-0.00358955
1581496586835003138,0.0245969,0.0245269,-9.13559,0.373632,0.999992,0.00134719,-0.00134138,-0.00358726
1581496586851002216,0.0695775,-0.00759454,-9.11952,0.372957,0.999986,-0.00040268,-0.00381615,-0.00359053
1581496586859003067,0.0975264,-0.00678735,-9.11436,0.372739,0.999979,-0.000353115,-0.00535122,-0.00359081
1581496586867003202,-0.0160755,0.00921367,-9.14816,0.374148,0.999993,0.000500423,0.00088042,-0.00358951
1581496586875003099,0.095292,-0.00457915,-9.12768,0.373283,0.99998,-0.000232087,-0.0052206,-0.00359014
1581496586883003235,-0.0100496,0.00818598,-9.16113,0.374675,0.999993,0.000444806,0.000550093,-0.00358931
1581496586891006231,0.0850973,-0.00846428,-9.13537,0.373595,0.999983,-0.000446526,-0.00465905,-0.00359103
1581496586907803059,0.0849252,-0.028452,-9.16026,0.374605,0.999982,-0.00153628,-0.00464091,-0.00359609
1581496586915803194,0.0153075,0.0243982,-9.10972,0.372571,0.999992,0.00134213,-0.000835363,-0.00358795
1581496586923803091,0.0816209,-0.022542,-9.17028,0.375017,0.999983,-0.00121304,-0.00445454,-0.00359437
1581496586939801455,0.0793126,-0.0246947,-9.1735,0.375151,0.999983,-0.00133039,-0.0043276,-0.00359473
1581496586947801352,0.035641,-0.0113203,-9.10412,0.372327,0.999991,-0.000614676,-0.00195962,-0.00359026
